Instance: test_1, Capacity: 100, Size: 50, Achieved: 24.70, Optimal: 24.70, Gap: -0.00%
Instance: test_2, Capacity: 100, Size: 50, Achieved: 25.40, Optimal: 25.40, Gap: 0.00%
Instance: test_3, Capacity: 100, Size: 50, Achieved: 25.56, Optimal: 25.56, Gap: 0.00%
Instance: test_4, Capacity: 100, Size: 50, Achieved: 23.50, Optimal: 23.50, Gap: -0.00%
Instance: test_5, Capacity: 100, Size: 50, Achieved: 26.73, Optimal: 26.73, Gap: 0.00%
Instance: test_6, Capacity: 100, Size: 50, Achieved: 24.41, Optimal: 24.41, Gap: 0.00%
Instance: test_7, Capacity: 100, Size: 50, Achieved: 27.10, Optimal: 27.10, Gap: -0.00%
Instance: test_8, Capacity: 100, Size: 50, Achieved: 24.19, Optimal: 24.19, Gap: 0.00%
Instance: test_9, Capacity: 100, Size: 50, Achieved: 26.58, Optimal: 26.58, Gap: -0.00%
Instance: test_10, Capacity: 100, Size: 50, Achieved: 23.76, Optimal: 23.76, Gap: 0.00%
Instance: test_11, Capacity: 100, Size: 50, Achieved: 24.01, Optimal: 24.01, Gap: 0.00%
Instance: test_12, Capacity: 100, Size: 50, Achieved: 28.32, Optimal: 28.32, Gap: 0.00%
Instance: test_13, Capacity: 100, Size: 50, Achieved: 28.51, Optimal: 28.51, Gap: 0.00%
Instance: test_14, Capacity: 100, Size: 50, Achieved: 23.18, Optimal: 23.18, Gap: 0.00%
Instance: test_15, Capacity: 100, Size: 50, Achieved: 27.18, Optimal: 27.18, Gap: -0.00%
Instance: test_16, Capacity: 100, Size: 50, Achieved: 22.46, Optimal: 22.46, Gap: 0.00%
Instance: test_17, Capacity: 100, Size: 50, Achieved: 25.76, Optimal: 25.76, Gap: -0.00%
Instance: test_18, Capacity: 100, Size: 50, Achieved: 24.41, Optimal: 24.41, Gap: 0.00%
Instance: test_19, Capacity: 100, Size: 50, Achieved: 23.38, Optimal: 23.38, Gap: 0.00%
Instance: test_20, Capacity: 100, Size: 50, Achieved: 22.95, Optimal: 22.95, Gap: -0.00%
Instance: test_21, Capacity: 100, Size: 50, Achieved: 23.02, Optimal: 23.02, Gap: 0.00%
Instance: test_22, Capacity: 100, Size: 50, Achieved: 23.35, Optimal: 23.35, Gap: 0.00%
Instance: test_23, Capacity: 100, Size: 50, Achieved: 24.94, Optimal: 24.94, Gap: 0.00%
Instance: test_24, Capacity: 100, Size: 50, Achieved: 25.51, Optimal: 25.51, Gap: -0.00%
Instance: test_25, Capacity: 100, Size: 50, Achieved: 25.20, Optimal: 25.20, Gap: -0.00%
Instance: test_26, Capacity: 100, Size: 50, Achieved: 27.64, Optimal: 27.64, Gap: -0.00%
Instance: test_27, Capacity: 100, Size: 50, Achieved: 24.94, Optimal: 24.94, Gap: 0.00%
Instance: test_28, Capacity: 100, Size: 50, Achieved: 20.28, Optimal: 20.28, Gap: -0.00%
Instance: test_29, Capacity: 100, Size: 50, Achieved: 26.40, Optimal: 26.40, Gap: 0.00%
Instance: test_30, Capacity: 100, Size: 50, Achieved: 24.68, Optimal: 24.68, Gap: 0.00%
Instance: test_31, Capacity: 100, Size: 50, Achieved: 26.93, Optimal: 26.93, Gap: -0.00%
Instance: test_32, Capacity: 100, Size: 50, Achieved: 26.49, Optimal: 26.49, Gap: -0.00%
Instance: test_33, Capacity: 100, Size: 50, Achieved: 26.48, Optimal: 26.48, Gap: -0.00%
Instance: test_34, Capacity: 100, Size: 50, Achieved: 17.60, Optimal: 17.60, Gap: -0.00%
Instance: test_35, Capacity: 100, Size: 50, Achieved: 25.10, Optimal: 25.10, Gap: 0.00%
Instance: test_36, Capacity: 100, Size: 50, Achieved: 25.65, Optimal: 25.65, Gap: 0.00%
Instance: test_37, Capacity: 100, Size: 50, Achieved: 29.14, Optimal: 29.14, Gap: 0.00%
Instance: test_38, Capacity: 100, Size: 50, Achieved: 20.65, Optimal: 20.65, Gap: -0.00%
Instance: test_39, Capacity: 100, Size: 50, Achieved: 24.40, Optimal: 24.40, Gap: 0.00%
Instance: test_40, Capacity: 100, Size: 50, Achieved: 24.38, Optimal: 24.38, Gap: -0.00%
Instance: test_41, Capacity: 100, Size: 50, Achieved: 28.28, Optimal: 28.28, Gap: 0.00%
Instance: test_42, Capacity: 100, Size: 50, Achieved: 25.67, Optimal: 25.67, Gap: 0.00%
Instance: test_43, Capacity: 100, Size: 50, Achieved: 25.33, Optimal: 25.33, Gap: 0.00%
Instance: test_44, Capacity: 100, Size: 50, Achieved: 25.12, Optimal: 25.12, Gap: 0.00%
Instance: test_45, Capacity: 100, Size: 50, Achieved: 25.07, Optimal: 25.07, Gap: -0.00%
Instance: test_46, Capacity: 100, Size: 50, Achieved: 29.78, Optimal: 29.78, Gap: -0.00%
Instance: test_47, Capacity: 100, Size: 50, Achieved: 21.69, Optimal: 21.69, Gap: -0.00%
Instance: test_48, Capacity: 100, Size: 50, Achieved: 24.18, Optimal: 24.18, Gap: -0.00%
Instance: test_49, Capacity: 100, Size: 50, Achieved: 24.03, Optimal: 24.03, Gap: -0.00%
Instance: test_50, Capacity: 100, Size: 50, Achieved: 23.13, Optimal: 23.13, Gap: 0.00%
