Instance: test_50_1, Capacity: 12.5, Size: 50, Achieved: 23.40, Optimal: 23.43, Gap: 0.12%
Instance: test_50_2, Capacity: 12.5, Size: 50, Achieved: 18.45, Optimal: 18.54, Gap: 0.50%
Instance: test_50_3, Capacity: 12.5, Size: 50, Achieved: 22.49, Optimal: 22.77, Gap: 1.21%
Instance: test_50_4, Capacity: 12.5, Size: 50, Achieved: 18.92, Optimal: 18.94, Gap: 0.11%
Instance: test_50_5, Capacity: 12.5, Size: 50, Achieved: 22.23, Optimal: 22.23, Gap: 0.00%
Instance: test_50_6, Capacity: 12.5, Size: 50, Achieved: 19.55, Optimal: 19.57, Gap: 0.06%
Instance: test_50_7, Capacity: 12.5, Size: 50, Achieved: 17.67, Optimal: 17.67, Gap: 0.00%
Instance: test_50_8, Capacity: 12.5, Size: 50, Achieved: 22.15, Optimal: 22.15, Gap: 0.00%
Instance: test_50_9, Capacity: 12.5, Size: 50, Achieved: 19.15, Optimal: 19.15, Gap: 0.00%
Instance: test_50_10, Capacity: 12.5, Size: 50, Achieved: 20.38, Optimal: 20.38, Gap: 0.01%
Instance: test_50_11, Capacity: 12.5, Size: 50, Achieved: 18.16, Optimal: 18.16, Gap: 0.00%
Instance: test_50_12, Capacity: 12.5, Size: 50, Achieved: 22.92, Optimal: 22.92, Gap: 0.00%
Instance: test_50_13, Capacity: 12.5, Size: 50, Achieved: 20.34, Optimal: 20.42, Gap: 0.38%
Instance: test_50_14, Capacity: 12.5, Size: 50, Achieved: 21.36, Optimal: 21.36, Gap: 0.00%
Instance: test_50_15, Capacity: 12.5, Size: 50, Achieved: 19.42, Optimal: 19.59, Gap: 0.89%
Instance: test_50_16, Capacity: 12.5, Size: 50, Achieved: 16.93, Optimal: 16.93, Gap: 0.00%
Instance: test_50_17, Capacity: 12.5, Size: 50, Achieved: 20.06, Optimal: 20.10, Gap: 0.22%
Instance: test_50_18, Capacity: 12.5, Size: 50, Achieved: 19.70, Optimal: 19.70, Gap: 0.01%
Instance: test_50_19, Capacity: 12.5, Size: 50, Achieved: 20.11, Optimal: 20.11, Gap: 0.00%
Instance: test_50_20, Capacity: 12.5, Size: 50, Achieved: 19.08, Optimal: 19.18, Gap: 0.56%
Instance: test_50_21, Capacity: 12.5, Size: 50, Achieved: 17.82, Optimal: 17.82, Gap: 0.00%
Instance: test_50_22, Capacity: 12.5, Size: 50, Achieved: 18.10, Optimal: 18.20, Gap: 0.51%
Instance: test_50_23, Capacity: 12.5, Size: 50, Achieved: 18.81, Optimal: 18.90, Gap: 0.48%
Instance: test_50_24, Capacity: 12.5, Size: 50, Achieved: 17.66, Optimal: 17.66, Gap: 0.00%
Instance: test_50_25, Capacity: 12.5, Size: 50, Achieved: 16.90, Optimal: 17.04, Gap: 0.84%
